id,autor,comentario,likes,data,num_caracteres,num_palavras,dia,comentario_limpo
Ugz5SPEYHc8Sbp5u8gB4AaABAg,@tfimp,"imaginem oque vai ser o debate em 2026, Lula e Bolsonaro acusavam um ao outro sem mostrar provas, assim como tambem não se dedendiam das acusações, agora imaginem o renan no debate, acusando todo mundo e mostrando as provas, e o principalmente, ninguem vai ter nada para acusa ele, ele não foi citado e nem tem parente citado no rombo/roubo do INSS, rombo/roubo dos Correios, não tem filho bandido, não foi citado no caso do Banco Master..",1,2026-05-24 15:57:17+00:00,439,77,2026-05-24,"imaginem oque vai ser o debate em 2026, lula e bolsonaro acusavam um ao outro sem mostrar provas, assim como tambem não se dedendiam das acusações, agora imaginem o renan no debate, acusando todo mundo e mostrando as provas, e o principalmente, ninguem vai ter nada para acusa ele, ele não foi citado e nem tem parente citado no rombo/roubo do inss, rombo/roubo dos correios, não tem filho bandido, não foi citado no caso do banco master."
Ugz0ro7uMduZfBa6RNN4AaABAg,@DiegoCardoso-p9t,Quem tá ansioso pelo debate de 2026 ???,4,2026-04-26 16:40:13+00:00,39,8,2026-04-26,quem tá ansioso pelo debate de 2026 ?
Ugx7vBSbOSYKrzk4F_J4AaABAg,@Testedealgoritimo,"auto promocao, ataques pessoais e fake news(um show de horrores)",0,2026-02-17 21:32:26+00:00,64,10,2026-02-17,"auto promocao, ataques pessoais e fake news(um show de horrores)"
UgyEjPkeFmP5KZbEBBR4AaABAg,@Testedealgoritimo,a Soraya tendo que baixar o nivel (triste. nossa educacao publica foi desmantelada),0,2026-02-17 21:28:55+00:00,83,13,2026-02-17,a soraya tendo que baixar o nivel (triste. nossa educacao publica foi desmantelada)
UgwTy0llKBm64ln-zDp4AaABAg,@alew7,2:06:59 a parte mais engraçada que certamente vc deve tá procurando kk,2,2026-02-11 01:21:24+00:00,70,12,2026-02-11,2:06:59 a parte mais engraçada que certamente vc deve tá procurando kk
UgzpXnrKjDNKWtiKpzF4AaABAg,@LUFTWARFERBlitz,Alguém em 2026?  Kkk😂😂,22,2026-01-19 21:19:38+00:00,22,4,2026-01-19,alguém em 2026? kkk😂😂
Ugzq37Fm3OMG-ICaCwx4AaABAg,@ErnestinaTina-l4c,Não acredito que caio seja de direita.  Ele sempre fala bem da tabata Amaral e sempre falou naqueles programinhas da jovem pan,0,2025-12-27 13:12:38+00:00,126,22,2025-12-27,não acredito que caio seja de direita. ele sempre fala bem da tabata amaral e sempre falou naqueles programinhas da jovem pan
UgwrUSPQPweq77jCJnd4AaABAg,@Rick_GamesBR,Eu vendo isso despois que o lula quebrou o Brasil novamente.,5,2025-12-19 04:26:13+00:00,60,11,2025-12-19,eu vendo isso despois que o lula quebrou o brasil novamente.
UgwopIKSHD74k8d2jLx4AaABAg,@willxavier8642,"Nunca de esqueçam do que esse homem fez. Nunca se esqueçam do que ele falava, dos ataques que fazia, da violência com que atacava milhões de brasileiros. Nunca se esqueçam. Não acreditem na imagem do Zé Soluço indefeso. Que apodreça na cadeia.",1,2025-12-16 14:46:37+00:00,243,42,2025-12-16,"nunca de esqueçam do que esse homem fez. nunca se esqueçam do que ele falava, dos ataques que fazia, da violência com que atacava milhões de brasileiros. nunca se esqueçam. não acreditem na imagem do zé soluço indefeso. que apodreça na cadeia."
Ugxqecp7B_tsLVWVM8h4AaABAg,@BrunoSilva-ij4xh,Daqui 1 ano tem essa música de novo  😂 quem está vendo em outubro de 2025 kkkkkkk  gosto ano de eleição copa do mundo carnaval,1,2025-10-27 03:29:35+00:00,126,25,2025-10-27,daqui 1 ano tem essa música de novo 😂 quem está vendo em outubro de 2025 kkkkkkk gosto ano de eleição copa do mundo carnaval
UgzebRpou8Jyajm_4qJ4AaABAg,@detudoumpouco4058,"Ninguém tira o mérito do Bolsonario, ele foi o governo que  salvou os mais pobres na pandemia com o auxílio emergencial.",3,2025-10-02 01:09:29+00:00,120,21,2025-10-02,"ninguém tira o mérito do bolsonario, ele foi o governo que salvou os mais pobres na pandemia com o auxílio emergencial."
UgzmrjWnEjf6RE-qFg14AaABAg,@LucasGabriel-dx1ui,Bolsonaro Fez um imenso esforço pra Perder,2,2025-09-01 13:14:01+00:00,42,7,2025-09-01,bolsonaro fez um imenso esforço pra perder
Ugwn9xn63rx1_hltpRB4AaABAg,@Lucario_auauau,1:12:48 Banana para o povo brasileiro,2,2025-08-07 16:38:14+00:00,37,6,2025-08-07,1:12:48 banana para o povo brasileiro
UgzGNxbIeOgiYyp0TQF4AaABAg,@GILMARMORAES35,LULA JANTOU ESSE GADO LOUCO =,0,2025-07-14 01:25:42+00:00,29,6,2025-07-14,lula jantou esse gado louco =
UgyE59obQsyikw3bew94AaABAg,@GILMARMORAES35,OS GADOS BOLSONARISTAS FICAM TUDO DOIDOS KKK FOI TACA NESSA ELEICAO QUE O BOISONARO LEVOU,0,2025-07-14 01:23:21+00:00,89,15,2025-07-14,os gados bolsonaristas ficam tudo doidos kkk foi taca nessa eleicao que o boisonaro levou
UgxLV5M4O6tpLLA8b-V4AaABAg,@Oprotagonista17,O que esse lula mente não tá escrito.,3,2025-06-02 04:02:29+00:00,37,8,2025-06-02,o que esse lula mente não tá escrito.
UgyTSM3rP20nCSp1Pv54AaABAg,@kailanycarvalho9265,Bater meu ponto em 2025 aq pra rir,0,2025-05-26 19:26:13+00:00,34,8,2025-05-26,bater meu ponto em 2025 aq pra rir
Ugy2TKYWKkVW5RHfwAt4AaABAg,@JosecauasilvadesouzaItsjospeh2,Cadê a ebc na pesquisa?,0,2025-05-06 01:20:23+00:00,23,5,2025-05-06,cadê a ebc na pesquisa?
UgwQezxXPoJ4gMZZ7jR4AaABAg,@brendonnascimento2874,Pq o ciro pode dizer da fraqueijada e o bolsonaro n pd falsr sobre a maior missao da esposa do ciro?,0,2025-03-01 15:34:55+00:00,100,21,2025-03-01,pq o ciro pode dizer da fraqueijada e o bolsonaro n pd falsr sobre a maior missao da esposa do ciro?
