id,autor,comentario,likes,data
UgyOaCGJxSo8fyN4-Hd4AaABAg,@Shokudaikiri_Mitsutada,"Em pleno 2026, eu só vim aqui por causa dessa parte 2:07:09 em que o Mula para de falar repentinamente, e o Bolsonaro fica rindo dele. kkkkkkkkkkkkkkkkkkkkkkkkkkk",1,2026-06-10T06:50:24Z
Ugz5SPEYHc8Sbp5u8gB4AaABAg,@tfimp,"imaginem oque vai ser o debate em 2026, Lula e Bolsonaro acusavam um ao outro sem mostrar provas, assim como tambem não se dedendiam das acusações, agora imaginem o renan no debate, acusando todo mundo e mostrando as provas, e o principalmente, ninguem vai ter nada para acusa ele, ele não foi citado e nem tem parente citado no rombo/roubo do INSS, rombo/roubo dos Correios, não tem filho bandido, não foi citado no caso do Banco Master..",1,2026-05-24T15:57:17Z
Ugz0ro7uMduZfBa6RNN4AaABAg,@DiegoCardoso-p9t,Quem tá ansioso pelo debate de 2026 ???,4,2026-04-26T16:40:13Z
Ugx7vBSbOSYKrzk4F_J4AaABAg,@Testedealgoritimo,"auto promocao, ataques pessoais e fake news(um show de horrores)",0,2026-02-17T21:32:26Z
UgyEjPkeFmP5KZbEBBR4AaABAg,@Testedealgoritimo,a Soraya tendo que baixar o nivel (triste. nossa educacao publica foi desmantelada),0,2026-02-17T21:28:55Z
UgwTy0llKBm64ln-zDp4AaABAg,@alew7,2:06:59 a parte mais engraçada que certamente vc deve tá procurando kk,2,2026-02-11T01:21:24Z
UgzpXnrKjDNKWtiKpzF4AaABAg,@LUFTWARFERBlitz,Alguém em 2026?  Kkk😂😂,22,2026-01-19T21:19:38Z
Ugzq37Fm3OMG-ICaCwx4AaABAg,@ErnestinaTina-l4c,Não acredito que caio seja de direita.  Ele sempre fala bem da tabata Amaral e sempre falou naqueles programinhas da jovem pan,0,2025-12-27T13:12:38Z
UgwrUSPQPweq77jCJnd4AaABAg,@Rick_GamesBR,Eu vendo isso despois que o lula quebrou o Brasil novamente.,5,2025-12-19T04:26:13Z
UgwopIKSHD74k8d2jLx4AaABAg,@willxavier8642,"Nunca de esqueçam do que esse homem fez. Nunca se esqueçam do que ele falava, dos ataques que fazia, da violência com que atacava milhões de brasileiros. Nunca se esqueçam. Não acreditem na imagem do Zé Soluço indefeso. Que apodreça na cadeia.",1,2025-12-16T14:46:37Z
UgzgumUscsis6AMoRuB4AaABAg,@hiagocristhian,2:12:29,0,2025-11-06T13:37:43Z
Ugxqecp7B_tsLVWVM8h4AaABAg,@BrunoSilva-ij4xh,Daqui 1 ano tem essa música de novo  😂 quem está vendo em outubro de 2025 kkkkkkk  gosto ano de eleição copa do mundo carnaval,1,2025-10-27T03:29:35Z
UgzebRpou8Jyajm_4qJ4AaABAg,@detudoumpouco4058,"Ninguém tira o mérito do Bolsonario, ele foi o governo que  salvou os mais pobres na pandemia com o auxílio emergencial.",3,2025-10-02T01:09:29Z
UgzmrjWnEjf6RE-qFg14AaABAg,@LucasGabriel-dx1ui,Bolsonaro Fez um imenso esforço pra Perder,2,2025-09-01T13:14:01Z
Ugwn9xn63rx1_hltpRB4AaABAg,@Lucario_auauau,1:12:48 Banana para o povo brasileiro,2,2025-08-07T16:38:14Z
UgzGNxbIeOgiYyp0TQF4AaABAg,@GILMARMORAES35,LULA JANTOU ESSE GADO LOUCO =,0,2025-07-14T01:25:42Z
UgyE59obQsyikw3bew94AaABAg,@GILMARMORAES35,OS GADOS BOLSONARISTAS FICAM TUDO DOIDOS KKK FOI TACA NESSA ELEICAO QUE O BOISONARO LEVOU,0,2025-07-14T01:23:21Z
UgxLV5M4O6tpLLA8b-V4AaABAg,@Oprotagonista17,O que esse lula mente não tá escrito.,3,2025-06-02T04:02:29Z
UgyTSM3rP20nCSp1Pv54AaABAg,@kailanycarvalho9265,Bater meu ponto em 2025 aq pra rir,0,2025-05-26T19:26:13Z
Ugy2TKYWKkVW5RHfwAt4AaABAg,@JosecauasilvadesouzaItsjospeh2,Cadê a ebc na pesquisa?,0,2025-05-06T01:20:23Z
UgwQezxXPoJ4gMZZ7jR4AaABAg,@brendonnascimento2874,Pq o ciro pode dizer da fraqueijada e o bolsonaro n pd falsr sobre a maior missao da esposa do ciro?,0,2025-03-01T15:34:55Z
Ugyr4Aw6LNoUyFHifuh4AaABAg,@uemersonSilva-y7z,Voltei aqui pra olhar todas as promessas e mentiras do ex presidiário lula,1,2025-02-24T02:50:28Z
UgxK8OsM7JpSNB88C0N4AaABAg,@andreiaconceicao1486,Bolsonaro volta.,0,2025-01-12T17:52:57Z
UgzO_UfjsZx3hhdWvFN4AaABAg,@mec420,"O boules é o futuro lule, observem os gestos e o jeito de falar, continuem escolhendo Barrabás.",1,2024-10-06T03:17:35Z
